Row Labels,Sum of 2010
SACRAMENTO,10.73175724
CONTRA COSTA ,9.53913028
ALAMEDA ,8.18412218
SAN JOAQUIN,8.05124502
SANTA CLARA ,7.91681302
SANTA CLARA,7.91681302
STANISLAUS,7.26413878
MERCED,6.51974356
YOLO,5.21625844
MADERA,4.97437676
SAN FRANCISCO ,3.90599894
SAN MATEO ,3.41974024
TUOLUMNE,3.09373174
SONOMA ,2.83381514
EL DORADO,2.7762834
AMADOR,2.71484834
SOLANO ,2.3314668
MARIN ,2.01357012
MONO,1.5545
NAPA ,1.28159336
CALAVERAS,0.9861
MARIPOSA,0.8809
ALPINE,0.1729
Grand Total,104.2798464
